truth_mm,median_mm,err_mm,err_pct,std_raw_mm,std_detrend_mm,valid_center_pct,valid_full_pct,n_frames
300,1022.0,+722.0,+240.67,0.00,0.00,100.0,100.0,100
300,1022.0,+722.0,+240.67,0.00,0.00,100.0,100.0,100
400,1022.0,+622.0,+155.50,5.70,5.70,100.0,100.0,100
500,1022.0,+522.0,+104.40,82.16,82.03,100.0,100.0,100
600,738.8,+138.8,+23.12,181.37,181.09,100.0,100.0,100
600,741.0,+141.0,+23.50,182.20,181.90,100.0,100.0,100
650,618.8,-31.2,-4.81,188.27,188.04,100.0,100.0,100
650,618.0,-32.0,-4.92,188.16,187.96,100.0,100.0,100
650,619.0,-31.0,-4.77,187.37,187.13,100.0,100.0,100
620,684.0,+64.0,+10.32,186.67,186.13,100.0,100.0,100
700,549.0,-151.0,-21.57,186.73,186.40,100.0,100.0,100
700,551.0,-149.0,-21.29,187.20,186.88,100.0,100.0,100
800,453.0,-347.0,-43.38,173.32,172.90,100.0,100.0,100
900,359.0,-541.0,-60.11,162.74,162.10,100.0,100.0,100
950,331.0,-619.0,-65.16,153.92,153.58,100.0,100.0,100
1000,290.0,-710.0,-71.00,143.36,143.07,100.0,100.0,100
1050,258.0,-792.0,-75.43,136.32,136.15,100.0,100.0,100
1200,218.0,-982.0,-81.83,117.73,117.36,100.0,100.0,100
650,611.2,-38.8,-5.96,184.86,184.49,100.0,100.0,100
650,613.0,-37.0,-5.69,183.97,183.63,100.0,100.0,100
600,713.0,+113.0,+18.83,180.29,179.91,100.0,100.0,100
