t,has_det,top_conf,elapsed_s,state,trigger_event
9.875,1,0.799,0.000,DETECTING,0
9.963,1,0.758,0.088,DETECTING,0
10.026,1,0.773,0.151,DETECTING,0
10.085,1,0.763,0.209,DETECTING,0
10.133,1,0.788,0.258,DETECTING,0
10.184,1,0.788,0.309,DETECTING,0
10.231,1,0.774,0.356,DETECTING,0
10.274,1,0.833,0.399,DETECTING,0
10.317,1,0.810,0.442,DETECTING,0
10.360,1,0.825,0.485,DETECTING,0
10.401,1,0.830,0.526,DETECTING,0
10.443,1,0.805,0.568,DETECTING,0
10.485,1,0.813,0.610,DETECTING,0
10.526,1,0.781,0.651,DETECTING,0
10.567,1,0.787,0.692,DETECTING,0
10.609,1,0.787,0.734,DETECTING,0
10.652,1,0.798,0.777,DETECTING,0
10.693,1,0.750,0.818,DETECTING,0
10.736,1,0.778,0.861,DETECTING,0
10.778,1,0.763,0.903,DETECTING,0
10.820,1,0.814,0.945,DETECTING,0
10.863,1,0.757,0.988,DETECTING,0
10.907,1,0.807,1.032,DETECTING,0
10.950,1,0.789,1.075,DETECTING,0
10.993,1,0.789,1.118,DETECTING,0
11.035,1,0.808,1.160,DETECTING,0
11.077,1,0.840,1.202,DETECTING,0
11.118,1,0.833,1.243,DETECTING,0
11.160,1,0.803,1.285,DETECTING,0
11.201,1,0.776,1.326,DETECTING,0
11.243,1,0.819,1.368,DETECTING,0
11.291,1,0.844,1.416,DETECTING,0
11.333,1,0.841,1.458,DETECTING,0
11.374,1,0.831,1.499,DETECTING,0
11.416,1,0.792,1.541,DETECTING,0
11.456,1,0.811,1.581,DETECTING,0
11.500,1,0.825,1.624,DETECTING,0
11.541,1,0.845,1.666,DETECTING,0
11.582,1,0.860,1.707,DETECTING,0
11.623,1,0.824,1.748,DETECTING,0
11.664,1,0.793,1.789,DETECTING,0
11.704,1,0.808,1.829,DETECTING,0
11.745,1,0.835,1.870,DETECTING,0
11.790,1,0.863,1.915,DETECTING,0
11.831,1,0.844,1.956,DETECTING,0
11.873,1,0.741,1.997,DETECTING,0
11.914,1,0.762,2.039,TRIGGERED,1
11.961,1,0.828,0.000,DETECTING,0
12.004,1,0.681,0.043,DETECTING,0
12.047,1,0.661,0.086,DETECTING,0
12.088,1,0.804,0.127,DETECTING,0
12.131,1,0.805,0.170,DETECTING,0
12.173,1,0.771,0.212,DETECTING,0
12.216,1,0.781,0.254,DETECTING,0
12.257,1,0.660,0.296,DETECTING,0
12.300,1,0.653,0.338,DETECTING,0
12.341,1,0.614,0.380,DETECTING,0
12.383,1,0.651,0.422,DETECTING,0
12.424,1,0.834,0.463,DETECTING,0
12.466,1,0.791,0.505,DETECTING,0
12.507,1,0.768,0.546,DETECTING,0
12.558,1,0.676,0.597,DETECTING,0
12.601,1,0.662,0.640,DETECTING,0
12.642,1,0.727,0.681,DETECTING,0
12.683,1,0.697,0.722,DETECTING,0
12.724,1,0.582,0.762,DETECTING,0
12.764,1,0.615,0.803,DETECTING,0
12.806,1,0.603,0.845,DETECTING,0
12.848,1,0.580,0.887,DETECTING,0
12.891,1,0.770,0.930,DETECTING,0
12.932,1,0.790,0.971,DETECTING,0
12.973,1,0.783,1.012,DETECTING,0
13.014,1,0.740,1.053,DETECTING,0
13.055,1,0.746,1.094,DETECTING,0
13.095,1,0.771,1.134,DETECTING,0
13.136,1,0.643,1.175,DETECTING,0
13.177,1,0.701,1.216,DETECTING,0
13.220,1,0.682,1.259,DETECTING,0
13.262,1,0.585,1.301,DETECTING,0
13.305,1,0.672,1.344,DETECTING,0
13.347,1,0.670,1.386,DETECTING,0
13.389,1,0.697,1.428,DETECTING,0
13.432,1,0.651,1.471,DETECTING,0
13.474,1,0.743,1.513,DETECTING,0
13.515,1,0.731,1.554,DETECTING,0
13.557,1,0.733,1.596,DETECTING,0
13.598,1,0.757,1.637,DETECTING,0
13.639,1,0.758,1.678,DETECTING,0
13.681,1,0.809,1.720,DETECTING,0
13.722,1,0.666,1.761,DETECTING,0
13.763,1,0.672,1.802,DETECTING,0
13.812,1,0.716,1.851,DETECTING,0
13.854,1,0.739,1.893,DETECTING,0
13.895,1,0.794,1.934,DETECTING,0
13.936,1,0.776,1.975,DETECTING,0
13.978,1,0.720,2.017,COOLDOWN,0
14.020,1,0.688,2.059,COOLDOWN,0
14.060,1,0.670,2.099,COOLDOWN,0
14.102,1,0.727,2.141,COOLDOWN,0
14.144,1,0.780,2.183,COOLDOWN,0
14.186,1,0.713,2.225,COOLDOWN,0
14.227,1,0.754,2.266,COOLDOWN,0
14.269,1,0.678,2.307,COOLDOWN,0
14.311,1,0.725,2.350,COOLDOWN,0
14.356,1,0.771,2.394,COOLDOWN,0
14.398,1,0.759,2.437,COOLDOWN,0
14.440,1,0.650,2.479,COOLDOWN,0
14.482,1,0.736,2.521,COOLDOWN,0
14.526,1,0.662,2.565,COOLDOWN,0
14.568,1,0.669,2.607,COOLDOWN,0
14.612,1,0.628,2.651,COOLDOWN,0
14.654,1,0.706,2.693,COOLDOWN,0
14.695,1,0.710,2.734,COOLDOWN,0
14.737,1,0.658,2.776,COOLDOWN,0
14.780,1,0.595,2.819,COOLDOWN,0
14.823,1,0.567,2.861,COOLDOWN,0
14.866,1,0.638,2.905,COOLDOWN,0
14.908,1,0.536,2.947,COOLDOWN,0
14.950,1,0.547,2.989,COOLDOWN,0
14.993,1,0.552,3.032,COOLDOWN,0
15.035,1,0.696,3.074,COOLDOWN,0
15.084,1,0.624,3.123,COOLDOWN,0
15.127,1,0.603,3.166,COOLDOWN,0
15.168,1,0.736,3.207,COOLDOWN,0
15.213,1,0.766,3.252,COOLDOWN,0
15.256,1,0.706,3.295,COOLDOWN,0
15.300,1,0.831,3.339,COOLDOWN,0
15.343,1,0.741,3.382,COOLDOWN,0
15.389,1,0.714,3.427,COOLDOWN,0
15.431,1,0.724,3.470,COOLDOWN,0
15.473,1,0.686,3.511,COOLDOWN,0
15.515,1,0.773,3.554,COOLDOWN,0
15.556,1,0.727,3.595,COOLDOWN,0
15.602,1,0.792,3.640,COOLDOWN,0
15.648,1,0.768,3.687,COOLDOWN,0
15.693,1,0.807,3.732,COOLDOWN,0
15.735,1,0.784,3.774,COOLDOWN,0
15.777,1,0.707,3.816,COOLDOWN,0
15.818,1,0.728,3.857,COOLDOWN,0
15.859,1,0.670,3.898,COOLDOWN,0
15.903,1,0.758,3.942,COOLDOWN,0
15.945,1,0.690,3.984,COOLDOWN,0
15.988,1,0.689,4.026,COOLDOWN,0
16.029,1,0.739,4.068,COOLDOWN,0
16.070,1,0.626,4.109,COOLDOWN,0
16.112,1,0.621,4.151,COOLDOWN,0
16.153,1,0.603,4.192,COOLDOWN,0
16.198,1,0.627,4.237,COOLDOWN,0
